,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
601,601,68524.0,9,2018-01-12,92.0
602,602,68682.0,9,2018-01-12,64.0
603,603,68686.0,9,2018-01-12,86.0
604,604,68705.0,9,2018-01-12,84.0
605,605,68867.0,9,2018-01-12,75.0
606,606,17446.0,9,2018-01-12,98.0
607,607,15022.0,9,2018-01-12,61.0
608,608,15090.0,9,2018-01-12,45.0
609,609,15092.0,9,2018-01-12,43.0
610,610,15106.0,9,2018-01-12,77.0
611,611,15114.0,9,2018-01-12,27.0
612,612,15135.0,9,2018-01-12,99.0
613,613,15187.0,9,2018-01-12,76.0
614,614,15215.0,9,2018-01-12,76.0
615,615,15218.0,9,2018-01-12,89.0
616,616,15226.0,9,2018-01-12,47.0
617,617,15236.0,9,2018-01-12,94.0
618,618,15248.0,9,2018-01-12,83.0
619,619,15276.0,9,2018-01-12,88.0
620,620,15293.0,9,2018-01-12,97.0
621,621,15317.0,9,2018-01-12,48.0
622,622,15362.0,9,2018-01-12,49.0
623,623,15380.0,9,2018-01-12,92.0
